#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
6mim611evo66rr35686mi7dxvmnpyyqj,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,2,1,2,1,14,2020-07-26 19:35:41,2020-07-26 19:37:46,371297c42d,
x0keo8tehgej5u25x0keo8qrhjqjfkw7,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-26 18:36:20,2020-07-26 18:38:21,b5d146c78a,
ifcbmmx0q61tifjphhlqokhnblzjx3n6,Bottle bank,1,1,2,Battery bank,1,1,1,2,2,1,2,1,2,1,14,2020-07-26 15:32:22,2020-07-26 15:34:02,785f186bdc,
5tkuca9fm3hzwiu5tkucjkets59j9dw2,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-26 15:15:06,2020-07-26 15:17:01,3a94ccc00b,
1lfuq7if7po0prfke1lfuq70wgji56no,2,1,1,2,Battery bank,1,2,1,1,2,1,1,1,1,1,11,2020-07-26 13:20:17,2020-07-26 13:23:59,850998aaf7,
lhw5roa8jfcelhwp2iv3u9wtub0xsshx,Bottle bank,1,2,2,Battery bank,2,2,1,1,2,1,1,1,2,1,11,2020-07-26 11:13:18,2020-07-26 11:15:28,d3ebc62f64,
2ssxazzbly0kacarnbef1fhd2ssxazeo,Bottle bank,1,1,2,Battery bank,1,2,1,1,2,1,1,1,2,1,13,2020-07-25 22:06:08,2020-07-25 22:08:41,e3f10e2f40,
q0n1nsqbdv0q84x3cf0q0n1nndh3xnnb,Bottle bank,1,2,2,Battery bank,1,1,1,1,2,1,1,1,2,1,13,2020-07-25 20:38:58,2020-07-25 20:41:46,6bfd381847,
it3qk5zivrie48zit3qk5xuyy05kg9ch,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-25 19:38:20,2020-07-25 19:41:09,29b569a1dc,
d2h81drqsb3ntud2g7smyw8dlx4g6y85,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-25 18:31:56,2020-07-25 18:34:03,fff875211f,
