#,glass,cardboard,type5,crisps,batteries,cartons,type4,envelopes,aerosols,wipes,plasticbottle,toothpaste,cleaningbottles,petfood,tins,Score,Start Date (UTC),,Submit Date (UTC),Network ID
7r8swvofmx329ilch7r8syil4pvm3p28,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,1,1,1,1,12,2020-07-10 08:26:21,,2020-07-10 08:28:48,077a02e726
u1b0uyvfgyqpjyfh1zu1b0u9ret6xqm2,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,2,1,15,2020-07-10 07:49:52,,2020-07-10 07:51:13,d5c2b37082
j2t9bzb6aezs8e7j2t9b93md825rkrm7,Bottle bank,1,1,1,Battery bank,1,2,1,1,2,1,1,1,2,1,12,2020-07-10 07:47:39,,2020-07-10 07:49:35,d5c2b37082
a8jdka6gfycu5z42rr9dngva8jdkah20,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-07-10 03:32:00,,2020-07-10 03:35:08,298c0e0384
jawjonuk2uto8memgcjawjonuk2e574v,Bottle bank,1,1,2,Battery bank,1,1,1,1,2,1,2,1,1,1,14,2020-07-10 03:27:43,,2020-07-10 03:30:41,298c0e0384
pnoxod3naja2v4zk02489pnoxoosqbp6,Bottle bank,1,1,1,Battery bank,1,1,1,2,2,1,1,2,1,1,10,2020-07-09 20:34:05,,2020-07-09 20:37:25,126abe483c
9361nxnr87p6dqwdz9361nxnjtvic58x,Bottle bank,1,1,2,Battery bank,1,2,2,1,2,1,1,1,1,1,11,2020-07-09 20:31:02,,2020-07-09 20:34:01,963379d37b
89u8vefql7hwsmk6fy89u8v8j88q6l39,Bottle bank,1,1,1,Battery bank,1,1,1,1,2,1,2,1,2,1,14,2020-07-09 20:18:21,,2020-07-09 20:20:15,28b640fc17
6byl9qm4ols870jl6byl9qb12d2cc9aj,Bottle bank,1,1,2,Battery bank,2,1,1,2,2,1,2,2,2,1,12,2020-07-09 20:12:04,,2020-07-09 20:14:28,933e715eba
4izw5f4464pt03xenon04izw5fyvx0b0,Bottle bank,1,1,2,Battery bank,2,1,1,1,2,1,1,2,2,1,12,2020-07-09 17:53:21,,2020-07-09 19:05:33,c776921d4e
